sentence_index	sentence
1	dhah raak ihz deh stihnd tuw biy dhah 21st sehn cher iy ehs nuw `` kow nahn '' ahnd dhaet hhiy ehs gow ihng tuw meyk ah splaesh iy vihn grey ter dhaen aar nahld shwaor zah ney ger , jean-claud vaen daem aor stiy vahn siy gahl .
2	dhah gorgeously ih lae braht kahn tih nyuw ey shahn ahv `` dhah laord ahv dhah rihngz '' trih lah jhiy ihz sow hhyuwjh dhaet ah kaa lahm ahv werdz kaen naat ae dahk waht liy dih skrayb co-writer\/director piy ter jhaek sahn ehs ihk spaen dahd vih zhahn ahv j.r.r. tolkien ehs middle-earth .
3	ih fehk tihv baht too-tepid biopic
4	ihf yuw sahm taymz layk tuw gow tuw dhah muw viyz tuw hhaev fahn , wasabi ihz ah guhd pleys tuw staart .
5	ih mer jhihz aez sahm thihng rehr , aen ih shuw muw viy dhaet ehs sow aa nahst ahnd kiyn liy ahb zervd dhaet iht dahz n't fiyl layk wahn .
6	dhah fihlm prah vaydz sahm greyt ihn sayt ihn tuw dhah nuh raa tihk maynd seht ahv aol kaa mihks -- iy vihn dhowz hhuw hhaev riycht dhah aeb sah luwt taap ahv dhah geym .
7	ao ferz dhaet rehr kaam bah ney shahn ahv ehn ter teyn mahnt ahnd eh jhah key shahn .
8	per hhaeps now pihk cher eh ver meyd hhaez maor lih ter ah liy showd dhaet dhah rowd tuw hhehl ihz peyvd wihdh guhd ihn tehn chahnz .
9	stihrz ternz ihn ah snae piy skriyn pley dhaet kerlz aet dhah eh jhahz ; iht ehs sow kleh ver yuw waant tuw hheyt iht .
10	baht hhiy sahm hhaw puhlz iht aof .
11	teyk kehr ahv may kaet ao ferz ah riy freh shihng liy dih fer ahnt slays ahv ey zhahn sih nah mah .
12	dhihs ihz ah fihlm wehl werth siy ihng , tao kihng ahnd sihng ihng hhehdz ahnd aol .
13	waht rih liy ser pray zihz ah bawt wisegirls ihz ihts low-key kwaa lah tiy ahnd jheh nyah wahn tehn der nahs .
14	-lrb- wendigo ihz -rrb- way wiy gow tuw dhah sih nah mah : tuw biy fehd thruw dhah ay , dhah hhaart , dhah maynd .
15	wahn ahv dhah grey tahst family-oriented , fantasy-adventure muw viyz eh ver .
16	ahl tah maht liy , iht paan derz dhah riy zahnz wiy niyd stao riyz sow mahch .
17	aen ah ter liy kahm peh lihng ` hhuw rowt iht ' ihn wihch dhah reh pyah tey shahn ahv dhah mowst fey mahs ao ther hhuw eh ver layvd kahmz ihn tuw kwehs chahn .
18	ih luw mah ney tihng ihf ow ver liy tao kiy daa kyah mehn ter iy .
19	ah mae ster piys faor yihrz ihn dhah mey kihng .
20	dhah muw viy ehs rayp , enrapturing byuw tiy wihl tehmpt dhowz wih lihng tuw prowb ihts ihn skruw tah bahl mih ster iyz .
